Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
99,Troy Daniels\danietr01,SG,25,MEM,49,814,11.4,.538,.707,.138,1.8,7.1,4.3,6.3,1.2,0.4,7.3,22.1,,0.6,0.6,1.2,.068,,0.7,-3.4,-2.7,-0.1
100,Anthony Davis\davisan02,C,23,NOP,61,2201,27.2,.577,.084,.442,6.6,27.5,17.0,11.8,1.6,5.2,9.7,32.8,,4.5,4.3,8.7,.190,,1.3,2.4,3.6,3.1
101,Deyonta Davis\davisde01,C,20,MEM,28,190,11.6,.543,.000,.450,9.9,21.6,15.6,1.6,0.3,7.6,14.3,13.3,,0.1,0.3,0.4,.101,,-5.6,1.8,-3.8,-0.1
102,Ed Davis\davised01,PF,27,POR,46,789,11.4,.563,.000,.570,13.4,20.9,17.1,4.8,0.9,2.3,17.2,11.9,,1.0,0.6,1.6,.095,,-2.2,-0.1,-2.2,0.0
103,Dewayne Dedmon\dedmode01,C,27,SAS,57,981,16.9,.664,.000,.378,10.8,31.1,21.2,5.1,1.6,3.9,16.0,12.3,,1.9,2.3,4.2,.206,,-1.0,3.5,2.5,1.1
104,Sam Dekker\dekkesa01,SF,22,HOU,65,1256,13.7,.552,.445,.148,7.6,13.9,10.7,8.1,1.4,1.3,8.1,15.5,,1.8,1.1,2.9,.112,,0.2,-0.6,-0.4,0.5
105,Malcolm Delaney\delanma01,PG,27,ATL,63,1100,8.0,.461,.275,.228,1.1,9.6,5.4,22.9,1.6,0.1,17.7,18.4,,-0.9,1.0,0.2,.007,,-4.3,-1.3,-5.6,-1.0
106,Matthew Dellavedova\dellama01,PG,26,MIL,58,1546,9.8,.495,.393,.195,1.4,7.2,4.4,27.2,1.5,0.0,19.2,16.1,,0.3,0.7,1.0,.031,,-1.8,-2.8,-4.6,-1.0
107,Luol Deng\denglu01,SF,31,LAL,56,1486,10.1,.469,.386,.148,4.4,17.4,10.7,7.2,1.6,1.1,8.7,14.2,,0.1,0.8,0.9,.029,,-2.3,-0.1,-2.5,-0.2
108,DeMar DeRozan\derozde01,SG,27,TOR,57,2027,24.0,.551,.074,.421,3.0,14.0,8.5,19.4,1.5,0.4,8.7,34.1,,5.1,1.6,6.7,.159,,2.1,-1.7,0.3,1.2
